Correlation,MSE,MaxE,MaxEMean,MaxERaw,MinE,MinEMean,MinERaw,Mue,Mup,Neuron,Pval,PvalMSE,Session,Sige,Sigp
0.27181533632841015,0.029672164495604638,0.0,0.0,0.0,0.0,0.0,0.0,-0.04409823540875978,-24.03892101261098,138,1.9510901076047618e-22,1.9287659821386292e-22,dFF_tetO_7_08052021_T10processedOutput,0.15170210935505954,14.53613853969536
0.14392369871714705,0.028977112608024057,13.0,13.0,13.0,-13.0,-13.0,-13.0,4.992940023723625,267.5843127463411,231,2.1038210622714688e-60,7.77524206557118e-64,dFF_tetO_9_07272021_T10processedOutput,4.187213982937508,17.278716913226052
0.04724241967148017,0.02952284336596295,12.0,12.0,12.0,-12.0,-12.0,-12.0,12.999999999999632,205.13209297798537,283,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,8.522093520753456,14.66939185162597
0.5190052287422843,0.009788224440301582,12.0,,12.0,-12.0,,-12.0,6.867472851412374,349.99999999999994,160,1.277780927688507e-75,6.259669175791395e-79,dFF_tetO_9_07302021_T10processedOutput,4.964409552005073,67.41924875280496
0.6843448058090817,0.018990059523162992,12.0,5.0,12.0,-14.0,-6.0,-15.0,-6.999999999999999,76.29608872930537,14,4.256266565715992e-47,4.107814095019657e-47,dFF_tetO_8_08052021_T11processedOutput,21.995502104438273,111.67969168253794
0.09298515586271767,0.026743162394169868,6.0,5.0,6.0,-6.0,-5.0,-6.0,-5.9999999994,76.00097762394613,324,1.0,1.0,dFF_tetO_9_07302021_T10processedOutput,12.624124455500557,31.45072419513065
0.20143934147295847,0.034398326694518394,0.0,0.0,0.0,0.0,0.0,0.0,0.6800931412215114,-23.861681458981803,6,1.350824482625599e-21,1.2804293530856295e-21,dFF_tetO_7_07302021_T10processedOutput,0.32498934947401803,18.54460676343106
0.05947481920368285,0.037448057908566264,3.0,4.0,4.0,-4.0,-4.0,-4.0,-0.7805189425207164,53.8038213541171,247,0.0009541129369035851,0.005759187388753212,dFF_tetO_7_07302021_T10processedOutput,0.9606170719642391,5.1891630114867935
0.054223607774330024,0.034136903240117075,11.0,10.0,11.0,-11.0,-10.0,-11.0,4.523708020213783,170.64550998961653,205,0.02033477184452245,0.1657889977294585,dFF_tetO_9_07302021_T10processedOutput,0.2526080105195845,19.779420128974976
,0.03868544720789623,,4.0,,,-4.0,,-2.0,55.18125469916633,179,,,dFF_tetO_9_07302021_T10processedOutput,5.0,0.16286106817631568
0.00932691196382843,0.03217989368825546,0.0,0.0,0.0,0.0,0.0,0.0,-0.6848342963950013,-17.93256095500689,31,1.0,1.0,dFF_tetO_8_08022021_T10processedOutput,0.3117245807331162,14.542239929091672
0.0981671710350884,0.03084926298003433,3.0,1.0,3.0,-3.0,-1.0,-3.0,-1.9999999998,8.701419048979702,297,1.0,1.0,dFF_tetO_7_07302021_T10processedOutput,29.999999997,38.91537642213199
0.04733623659864876,0.036551440678370996,5.0,5.0,6.0,-5.0,-5.0,-6.0,4.187659632989953,80.18974525577086,233,0.23851182028403084,0.8843053922790504,dFF_tetO_7_07302021_T10processedOutput,0.6956641284623202,9.546025491694472
0.04910125014143049,0.030728839211486322,13.0,13.0,13.0,-13.0,-13.0,-13.0,-8.995849685205444,212.8348841278315,89,,7.754877139579686e-19,dFF_tetO_9_07272021_T10processedOutput,0.8491087521709626,25.65733008527357
0.8089900963260621,0.008843952988967603,1.0,0.0,1.0,-1.0,0.0,-1.0,0.6286769086287113,0.7436729145049472,30,9.898538064185435e-43,9.844781781745492e-43,dFF_tetO_9_07272021_T10processedOutput,8.466230471733269,20.794671387081763
0.026337967764962812,0.03985961446355989,1.0,0.0,1.0,-1.0,0.0,-1.0,-0.31296500974561436,1.2297620695666123,205,1.0,1.0,dFF_tetO_8_07282021_T10processedOutput,0.27911508946179936,15.740967830933986
0.776657433179015,0.007916636942077164,1.0,1.0,1.0,-1.0,-1.0,-2.0,1.9999999999999998,7.6390960035237425,28,9.019749186914687e-48,8.992652635870928e-48,dFF_tetO_9_07272021_T10processedOutput,9.515290958500014,17.82015108578907
